input_idx,prev_txid,prev_vout,prev_address,value_sats,value_btc,prev_block_height,prev_block_time,is_coinbase,age_days_at_spend
118,f2e83235b8f466c5044ba1f6a0cc63d110cf292db22d299f9b3a898d9fe326fe,0,1XPTgDRhN8RFnzniWCddobD9iKZatrvH4,15000000000,150.0,50999,1271333877,False,37.25
14,eec82457cbc83612495843f85ba22caa9492978840048944c93294ce3e815f7a,1,1XPTgDRhN8RFnzniWCddobD9iKZatrvH4,1000000,0.01,51728,1271613446,False,34.01
18,ce806910ce4804de564a9b2a3704b57b0c87c7517ca2a5012e3b6aa9563dcc7b,0,1XPTgDRhN8RFnzniWCddobD9iKZatrvH4,1000000,0.01,51728,1271613446,False,34.01
26,757e734978084d632e1e83791573166b7e8eebf08b8faff4d68e3222af0f767d,0,1XPTgDRhN8RFnzniWCddobD9iKZatrvH4,1000000,0.01,51728,1271613446,False,34.01
33,7148b9c04cf4d5452e7793935dbbf051237987885afe7b2845625830147e4b80,1,1XPTgDRhN8RFnzniWCddobD9iKZatrvH4,1000000,0.01,51728,1271613446,False,34.01
37,72f284c65380734639107a190f842eca12da9e9a3389329d7fbd39815ac136b3,0,1XPTgDRhN8RFnzniWCddobD9iKZatrvH4,1000000,0.01,51728,1271613446,False,34.01
39,23ac73d6d65aa7187e4eeef69fc6ca73d62403cb9a591cfe977fb7ff2696c9b4,1,1XPTgDRhN8RFnzniWCddobD9iKZatrvH4,1000000,0.01,51728,1271613446,False,34.01
40,073636d643eca967219c9243795b78e2b55ac28311611b7344962b4a85e276b5,1,1XPTgDRhN8RFnzniWCddobD9iKZatrvH4,1000000,0.01,51728,1271613446,False,34.01
50,9da20d81079f681ce8b011e9e3dd740828992c4da46a929d688b770b025af1bd,1,1XPTgDRhN8RFnzniWCddobD9iKZatrvH4,1000000,0.01,51728,1271613446,False,34.01
65,23baf46c5edb2ce6586499dddf07499c9729257caf9b05367e72a9db2bed3ecc,0,1XPTgDRhN8RFnzniWCddobD9iKZatrvH4,1000000,0.01,51728,1271613446,False,34.01
66,396475d4c3011ea97c31aa1132e63c335cea9b3b1b573ca93ef135dbee0a66cc,1,1XPTgDRhN8RFnzniWCddobD9iKZatrvH4,1000000,0.01,51728,1271613446,False,34.01
79,90c8eecf4108ba4108f274b064bf10654004bc88aec2ea6aaca8510d9bba81d3,1,1XPTgDRhN8RFnzniWCddobD9iKZatrvH4,1000000,0.01,51728,1271613446,False,34.01
